id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
1358,Vise-Lixhe,4012500.0,3072500.0,20825.0,Meuse,Meuse,Rhine,BE,,2331,1151.1,1333.9,1784.0,2082.0,2367.8,2737.8,3015.1,3291.3,3655.8,1,1,0,0,1.0,1.0,1.0
1359,Angleur,4012500.0,3062500.0,3725.0,Meuse,Ourthe,Rhine,BE,,2411,295.3,334.0,429.2,492.2,552.7,630.9,689.6,748.0,825.1,1,1,0,0,1.0,1.0,1.0
1360,Salzinnes-Ronet,3947500.0,3052500.0,2900.0,Meuse,Sambre,Rhine,BE,,2611,148.3,175.9,243.6,288.5,331.6,387.3,429.1,470.7,525.6,1,0,1,0,0.0,,0.0
1970,TRIER UP,4077500.0,2962500.0,23650.0,Moselle,Moselle,Rhine,DE,,4131,1391.9,1604.9,2129.1,2476.2,2809.1,3240.0,3562.9,3884.6,4309.1,1,1,0,0,1.0,1.0,1.0
1977,MEGEN DORP,4017500.0,3197500.0,29000.0,Meuse,Meuse,Rhine,NL,,2311,1397.9,1608.8,2128.1,2471.8,2801.6,3228.4,3548.3,3866.9,4287.4,1,1,0,0,1.0,1.0,1.0
2022,GOCH,4047500.0,3187500.0,1275.0,Meuse,Niers,Rhine,DE,,2321,42.9,49.6,66.3,77.3,87.9,101.6,111.8,122.1,135.5,3,1,2,0,0.3333333333333333,1.0,0.5
2122,HAMOIR(TABREUX),4002500.0,3042500.0,1600.0,Meuse,Ourthe,Rhine,BE,,2451,122.3,142.8,193.2,226.6,258.6,300.1,331.1,362.1,402.9,1,1,0,0,1.0,1.0,1.0
2150,SCHWAIBACH,4172500.0,2807500.0,975.0,Kinzig,KINZIG (TRIB. RHEIN),Rhine,DE,,11611,135.2,153.1,197.2,226.3,254.3,290.5,317.6,344.6,380.3,0,0,0,1,,0.0,0.0
2151,STEIN,4267500.0,2902500.0,1950.0,Neckar,KOCHER,Rhine,DE,,10211,220.9,259.4,354.1,416.8,477.0,554.8,613.2,671.3,748.0,0,0,0,0,,,
2153,RHEINFELDEN,4147500.0,2717500.0,34675.0,Rhine,Rhine,Rhine,DE,,11711,2361.9,2580.9,3120.0,3476.9,3819.3,4262.4,4594.5,4925.3,5361.9,1,1,0,0,1.0,1.0,1.0
2200,LITH,4012500.0,3197500.0,29175.0,Meuse,Meuse,Rhine,NL,,2311,1405.2,1616.5,2136.6,2481.0,2811.3,3238.9,3559.3,3878.6,4299.8,1,1,0,0,1.0,1.0,1.0
2201,VENLO,4042500.0,3182500.0,27025.0,Meuse,Meuse,Rhine,DE,,2331,1352.1,1562.2,2079.3,2421.6,2750.0,3175.1,3493.6,3811.0,4229.7,1,1,0,0,1.0,1.0,1.0
2203,RUNKAMPEN,4002500.0,3182500.0,875.0,Meuse,BRABANTSE AA,Rhine,NL,,2211,50.5,58.0,76.2,88.3,99.9,114.9,126.1,137.3,152.1,0,0,0,0,,,
2205,VECHTERWEERD,4057500.0,3242500.0,3725.0,Ijssel,Vechte,Rhine,NL,,3211,206.5,251.9,363.7,437.7,508.7,600.6,669.4,738.0,828.6,1,0,1,0,0.0,,0.0
2560,"BASEL, SCHIFFLAENDE",4137500.0,2722500.0,36275.0,Rhine,Rhine,Rhine,CH,,11711,2451.3,2681.6,3248.3,3623.5,3983.5,4449.3,4798.4,5146.3,5605.2,1,1,0,0,1.0,1.0,1.0
2562,"JONSCHWIL, MUEHLAU",4252500.0,2697500.0,525.0,Thur,Thur,Rhine,CH,,14111,171.3,194.1,250.0,287.0,322.5,368.4,402.9,437.2,482.5,1,0,1,0,0.0,,0.0
2766,La Meuse à Verdun [Pont Chaussée],3982500.0,2912500.0,3400.0,Meuse,Meuse,Rhine,FR,,2791,238.8,273.7,359.4,416.1,470.6,541.0,593.8,646.4,715.9,1,1,0,0,1.0,1.0,1.0
